X,Y,Name,small,large,circular,mini_hoop,total_rack
982903.569938198,205129.998582438,1 7 AV S,5,0,0,0,5
987330.416071355,191302.730305269,1 BOERUM PL,1,0,0,0,1
983210.953181699,199016.513434097,1 CENTRE ST,10,0,0,0,10
985897.839540198,207157.885274693,1 E 13 ST,1,0,0,0,1
1010993.96946594,252137.339606941,1 E 183 ST,0,0,2,0,2
987774.370892107,210586.446659014,1 E 28 ST,1,0,0,0,1
991353.176070437,216791.082215607,1 E 55 ST,0,0,1,0,1
992028.497226357,217854.048265517,1 E 60 ST,1,0,0,0,1
985278.214795187,206044.090258181,1 E 8 ST,2,0,0,0,2
989707.562891856,190061.513955683,1 FLATBUSH AV,1,0,0,0,1
1000284.65951978,194632.335194603,1 GRAHAM AV,1,0,0,0,1
985853.68444477,204336.501153693,1 GREAT JONES ST,1,0,0,0,1
998753.902410686,169845.751893848,1 HILLEL PL,0,0,1,0,1
984034.879683435,199887.606180102,1 HOGAN PL,0,2,0,0,2
988410.097967103,190752.754043013,1 HOYT ST,0,0,3,0,3
981651.37887302,199998.136142775,1 HUDSON ST,1,0,0,0,1
987287.683545277,207023.945581943,1 IRVING PL,0,1,0,0,1
986869.601048112,195680.461379185,1 MAIN ST,1,2,0,0,3
989388.635380104,211015.917584851,1 PARK AV,4,0,1,0,5
989899.290854856,180115.022693858,1 PROSPECT PK SW,0,0,4,0,4
992377.149416193,184213.324864686,1 PROSPECT PK W,1,0,0,0,1
1003405.80321185,180772.241195694,1 REMSEN AV,0,1,0,0,1
984751.914338604,192554.376424015,1 REMSEN ST,0,1,0,0,1
986495.886900529,207242.822440773,1 UNION SQ W,2,0,0,0,2
999113.621835604,231434.628059685,1 W 117 ST,0,3,0,0,3
985750.951054439,207275.919159353,1 W 13 ST,1,0,0,0,1
1010571.58284353,251615.508301526,1 W 182 ST,0,0,1,0,1
985627.783649862,204517.195346102,1 W 3 ST,1,0,0,0,1
985762.466451362,204822.148476347,1 W 4 ST,1,0,0,0,1
990093.133314937,215057.615210101,1 W 47 ST,2,0,0,0,2
990799.772977769,216453.554347351,1 W 53 ST,1,0,0,0,1
993376.488624856,226553.712952763,1 W 91 ST,0,1,0,0,1
985981.696984023,204870.619179934,1 WASHINGTON PL,1,2,0,0,3
980621.972795352,195593.15184252,1 WHITEHALL ST,0,0,1,0,1
990701.549420938,201398.612344444,10 AV D,0,1,0,0,1
963722.16670002,171768.637811854,10 BAY ST LANDING,1,0,0,0,1
997712.425162941,203014.015609682,10 BEDFORD AV,1,0,0,0,1
984942.497946948,199551.702324361,10 BOWERY,1,0,0,0,1
984824.95979619,199399.773494348,10 CHATHAM SQ,1,0,0,0,1
1007068.36806519,189781.247127771,10 CORNELIA ST,0,0,2,0,2
986993.987610355,208877.993711099,10 E 21 ST,2,0,0,0,2
987359.765422106,208980.050921693,10 E 22 ST,5,0,0,0,5
988247.326639116,210861.59046568,10 E 30 ST,1,0,0,0,1
988538.98484844,211537.476253018,10 E 33 ST,1,0,0,0,1
990132.659810692,214289.975997359,10 E 45 ST,1,0,0,0,1
984034.879683435,199887.606180102,10 HOGAN PL,0,2,0,0,2
987514.123053029,206877.877960682,10 IRVING PL,0,1,2,0,3
995609.227269605,177392.940867692,10 LENOX RD,0,0,1,0,1
988971.403274938,220646.60370402,10 LINCOLN CENTER PLZ,0,0,1,0,1
985557.984904945,198503.184736356,10 MONROE ST,1,0,0,0,1
994589.338561356,201256.046028525,10 N 5 ST,0,0,2,0,2
992322.102938354,185415.590832859,10 PLAZA ST E,1,1,1,0,3
1004154.69738336,196226.956349194,10 PORTER AV,0,0,1,0,1
986972.889883518,199320.495109603,10 RUTGERS ST,1,0,1,0,2
986421.472351193,202643.86346285,10 STANTON ST,1,0,0,0,1
1005726.33466002,181644.925473943,10 SUTTER AV,0,0,1,0,1
987103.115344852,206991.133311599,10 UNION SQ E,0,3,0,0,3
985938.261047274,207732.074415013,10 W 15 ST,0,0,2,0,2
986986.994186029,209457.280610263,10 W 23 ST,0,0,1,0,1
987210.59774144,209641.294349849,10 W 24 ST,1,0,0,0,1
1009708.97334827,250381.664968684,10 W BURNSIDE AV,0,0,1,0,1
985639.396815613,204997.384346351,10 WASHINGTON PL,2,0,0,0,2
986955.793789104,205959.694429606,100 4 AV,1,0,0,0,1
988305.984986365,221316.856956691,100 AMSTERDAM AV,0,4,0,0,4
985172.918417856,190944.417045519,100 ATLANTIC AV,1,0,0,0,1
989984.349083692,202929.350424692,100 AV C,1,0,0,0,1
982338.359454438,207547.010808766,100 BANK ST,2,0,0,0,2
998543.613133103,201265.338332772,100 BAYARD ST,0,0,2,0,2
1000689.59243694,198568.464133352,100 BUSHWICK AV,0,0,2,0,2
981608.31137386,199088.772147849,100 CHURCH ST,2,0,5,0,7
992113.776583359,192307.899882853,100 CLERMONT AV,3,0,0,0,3
1009598.16156203,189283.89510411,100 COOPER ST,0,0,1,0,1
1009029.61709544,189828.345130682,100 COVERT ST,0,0,1,0,1
987376.57674019,207548.229638353,100 E 17 ST,2,0,0,0,2
1011436.06077336,251845.26735644,100 E 183 ST,0,0,2,0,2
992002.488748193,216023.995823264,100 E 54 ST,0,0,1,0,1
999181.055099696,221281.764179111,100 EAST END ST,4,0,0,0,4
983245.843531862,198048.121998191,100 GOLD ST,6,0,0,0,6
986205.731312856,193440.863824263,100 HENRY ST,1,1,0,0,2
981874.383348271,201256.146750107,100 HUDSON ST,1,0,0,0,1
1005719.22739078,195648.639592439,100 IRVING AV,0,0,2,0,2
987903.352589518,194968.69410193,100 JAY ST,0,2,0,0,2
988158.572551519,192445.386812598,100 JOHNSON ST,0,0,1,0,1
983987.763307855,200872.391940191,100 LAFAYETTE ST,1,0,0,0,1
995379.096496269,187314.222862348,100 LEFFERTS PL,2,0,0,0,2
995073.791660696,200225.92997852,100 N 3 ST,2,0,1,0,3
1002997.6065217,194905.339241773,100 NOLL ST,0,0,2,0,2
990121.905239031,212935.750031263,100 PARK AV,1,0,1,0,2
982033.663869604,200048.011699185,100 READE ST,1,1,0,0,2
987183.037429109,190036.303704277,100 SMITH ST,1,0,0,0,1
983323.407353103,203665.367981523,100 SULLIVAN ST,5,2,0,0,7
986208.54134661,206730.547546685,100 UNIVERSITY PL,1,0,0,0,1
982855.774102032,202954.945189774,100 VARICK ST,2,0,0,0,2
984846.940067187,207429.992342025,100 W 12 ST,2,0,0,0,2
985026.227766365,207933.867974684,100 W 14 ST,0,1,0,0,1
985252.906774938,208159.761879846,100 W 15 ST,2,0,0,0,2
986146.491273865,209905.692771181,100 W 23 ST,5,2,0,0,7
986473.404990107,210640.942284942,100 W 26 ST,2,0,0,0,2
990513.292907685,217653.955489859,100 W 57 ST,4,0,0,0,4
991518.787615865,225275.00061518,100 W 84 ST,34,0,0,0,34
992230.345904022,226556.587947026,100 W 89 ST,0,0,2,0,2
992726.837365106,227386.709974438,100 W 93 ST,2,0,0,0,2
984051.563377112,206099.083258435,100 WASHINGTON PL,1,0,0,0,1
1000702.2961517,201095.833750516,100 WOODPOINT RD,0,0,1,0,1
993321.332567185,214835.63566719,1000 2 AV,3,0,0,0,3
993126.048180863,217016.459061444,1000 3 AV,0,0,1,0,1
994497.509348691,221780.292381525,1000 MADISON AV,0,0,0,1,1
994818.428326279,182492.812229604,1000 WASHINGTON AV,1,0,0,0,1
994234.668667018,215045.121140599,1001 1 AV,1,0,0,0,1
987970.421353027,213259.580748439,1001 AV OF THE AMERICAS,1,0,0,0,1
994555.022028938,188052.354260102,1001 FULTON ST,2,0,0,0,2
1057667.45026578,220357.183023021,10011 NORTHERN BL,1,0,1,0,2
1025948.06160495,203038.437804937,10018 QUEENS BL,0,0,2,0,2
992993.719049186,172100.732292026,1002 CORTELYOU RD,0,0,2,0,2
1003349.45325895,195628.444094777,1002 FLUSHING AV,0,0,1,0,1
994490.851553604,221804.700141102,1002 MADISON AV,0,0,0,1,1
1021468.87469719,212390.846593514,1002 ROOSEVELT AV,1,0,0,0,1
1025948.06160495,203038.437804937,10028 QUEENS BL,0,0,2,0,2
995002.66483444,231224.421459109,1003 COLUMBUS AV,1,0,0,0,1
994543.230385855,221729.669451267,1003 MADISON AV,0,0,0,1,1
992647.341461107,173749.555109859,1004 BEVERLY RD,0,0,1,0,1
995165.071333781,187714.887743443,1004 FULTON ST,1,0,0,0,1
995051.389474526,231229.908324763,1005 COLUMBUS AV,0,0,0,1,1
996784.483121186,190539.584193766,1007 BEDFORD AV,0,0,1,0,1
993380.262239352,215051.342584848,1009 2 AV,2,0,0,0,2
993685.960118771,216884.781831354,1009 3 AV,1,0,0,0,1
995028.943653271,231275.075885355,1009 COLUMBUS AV,0,1,0,0,1
987332.096842274,204278.350679442,101 2 AV,1,0,0,0,1
989681.817536518,187374.217164934,101 4 AV,1,0,0,0,1
990320.71750544,186813.30194819,101 5 AV,2,0,0,0,2
982858.810513273,202735.617872521,101 6 AV,0,1,0,0,1
991020.224308521,184862.506637186,101 7 AV,2,0,0,2,4
985130.205904856,191087.23237668,101 ATLANTIC AV,1,0,0,0,1
989410.492947936,203345.651757434,101 AV B,1,0,0,0,1
980837.405107275,199515.499312773,101 BARCLAY ST,2,1,0,0,3
982518.227204949,184361.401996359,101 BAY ST,0,4,0,0,4
989993.769012362,173619.811602935,101 CHURCH AV,1,0,0,0,1
986253.704642102,193413.907185271,101 CLARK ST,1,0,0,0,1
987325.578154519,201036.898500934,101 DELANCEY ST,1,0,0,0,1
987203.69847703,207132.505732268,101 E 15 ST,3,1,0,0,4
1000554.85845444,185760.003529847,101 KINGSTON AV,1,0,0,0,1
994635.649164274,200566.387959018,101 N 3 ST,0,0,2,0,2
982680.312838778,207165.166756183,101 PERRY ST,1,0,0,0,1
983661.83581011,203628.559984267,101 THOMPSON ST,2,0,0,0,2
984790.125548273,207548.763101846,101 W 12 ST,1,0,0,0,1
985257.894625857,208168.505956858,101 W 15 ST,1,0,0,0,1
985562.413701862,208886.618037686,101 W 18 ST,1,0,0,0,1
986167.263213947,210039.039945439,101 W 23 ST,1,0,0,0,1
986657.643466771,210934.975817606,101 W 27 ST,1,0,0,0,1
987108.676357359,211542.001834527,101 W 30 ST,1,0,0,0,1
990491.103319526,217765.07140936,101 W 57 ST,1,0,0,0,1
991588.803880021,225428.041975766,101 W 84 ST,2,0,0,0,2
